,,M_c,q,s1_z,s2_z,iota,d_L,t_c,psi,ra,dec,lambda_1,lambda_2,H_0,v_p,logL,logL_birth,nlive
labels,,$M_c$,$q$,$s_{1z}$,$s_{2z}$,$\iota$,$d_L$,$t_c$,$\psi$,$\alpha$,$\delta$,$\Lambda_1$,$\Lambda_2$,$H_0$,$v_p$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,,,
56,0.0,1.8337887250457003,0.6798883509389213,0.025419293769638238,-0.02242660093410156,2.236750285232965,68.63673942536927,0.04897164321777231,1.3077920804622154,3.4270696378234304,0.5432413415398789,383.54013209246693,1962.057421138028,194.9154788181231,965.63403703174,-11739.86911527188,,1444
57,0.0,1.2104748091505606,0.794726529816367,0.007791317574524295,-0.02946186581908963,0.8600357557392179,70.29883091363594,-0.06925576981394276,0.6482788512091137,3.473488636098097,-0.6082806787901021,4089.450090237886,979.3742484446,198.38141935372064,394.19365624943134,-11723.38383897417,,1443
58,0.0,1.640672575535364,0.2680937826860179,0.0060903632247052,0.03445372973055556,1.8403158573376033,59.63803287084194,0.0602874916514744,2.882427174793483,3.4341817707133426,1.027852337954492,1437.912525112257,895.7324630872654,230.14738910158394,617.2336341054051,-11722.459150581893,,1442
59,0.0,2.064847475084424,0.8524788277841479,3.225732878529147e-05,-0.04499384319532773,2.0603918664677985,66.74077729906645,0.031050892839968952,1.6426953739906072,3.421262433193275,1.0468052655934421,1451.4530712664618,3648.681520417082,216.73190219701536,-154.00473140548286,-11673.114186540317,,1441
60,0.0,1.2963385568989219,0.31612858893073387,-5.062410142267493e-06,0.033600465126231646,1.9016781162602134,63.28208475209402,-0.03585619283260129,0.9821990795248318,3.3981966498814526,0.18545507236539288,4352.406425967965,526.2573012110727,223.17520541132123,174.3392726852494,-11651.832124603445,,1440
61,0.0,1.3678677211010086,0.6413969481064683,-0.01963112870470314,-0.0029107521795493224,2.5656840446244136,66.62134266946691,0.002643302744303397,1.5723139041732657,3.4772203445150627,0.940193664881801,1742.9525326376483,2669.233850602366,213.02580201911985,48.41326417464802,-11522.914065379891,,1439
62,0.0,1.6895897648544569,0.5201880844287448,0.013213651284789019,-0.014559332917388534,2.030250800793557,68.46538668952806,-0.01255469095228938,2.7742915562344024,3.416778386192776,-0.5201338868101899,3854.6578898763883,1087.6518072989672,197.97594251142854,648.0445839268971,-11504.546444817775,,1438
63,0.0,1.9916131020643437,0.7909894753495506,0.03467854600874819,0.004062057251474863,2.2155499325953074,63.24900785295179,-0.0757132964893616,0.9312694463360097,3.4781703904900563,-0.7349621100220971,1683.0989843958732,294.62428032376977,236.42188211553983,-950.8880265467145,-11364.288655180742,,1437
64,0.0,1.8637463676771007,0.9141185016850049,-0.035856313042074865,-0.002717824367867494,1.3402475162518088,55.076803962971454,-0.016053956554646517,1.2703539924901814,3.4010843570216123,-0.19806695770166055,4855.517278438668,946.4774805495168,238.84349809076153,954.9689387875912,-11283.050355639678,,1436
65,0.0,1.9492166354988933,0.6939574212880495,0.04061793351634804,-0.015194145205274068,2.1196875414397063,67.70463352818714,-0.032412954184365766,2.3741468384583935,3.396281147480698,0.1656325850188165,1267.0229881361984,493.8356322648907,195.60159813582675,830.186535905204,-11266.872905380367,,1435
66,0.0,2.086374982532543,0.9071749655193441,-0.03051899035157111,-0.011676158974153014,1.6494879480483196,64.51199095346222,0.06250000352557655,2.716474725304667,3.461924077785395,-1.5109692279577043,4460.0160039721795,2276.707281888827,223.52840729429514,-364.7405552203247,-11213.941106314494,,1434
67,0.0,2.0565757698982523,0.987227805236784,0.024831355550357787,0.01591394914074433,0.44658574266004,68.73383338080812,0.09017358673216919,2.2281224870600305,3.493177887372429,0.004011319018164261,3252.7881059930496,2566.381403364546,210.512919289184,-569.0863274025104,-11158.306715062801,,1433
68,0.0,1.9362254737528937,0.4132686820248257,0.03184258268268965,-0.025279917424036593,2.270937440791167,68.39736902166786,-0.02069766857593311,0.05691423975509795,3.4251480173252116,1.2069122258398612,2299.7794293942543,4253.432730633194,203.16085424231434,121.1622555336462,-11079.40230856456,,1432
69,0.0,1.479012958451493,0.6369705797410178,0.01517678810534287,-0.005035534090498728,2.053975638374287,66.60729017840679,-0.03697140663979828,1.9468675276405554,3.4128718277033196,0.27895821214244854,880.8254169195085,1238.8954808927522,209.34551824049657,35.91328004809179,-11005.434099515738,,1431
70,0.0,1.785847330405717,0.9009530480291843,-0.013112573347705749,0.01999196828206884,0.564901371002081,67.0155532150373,-0.06637709829420801,0.3726503835613787,3.4357662384347076,-0.9364251979585917,3134.0338476498673,2831.0806620822327,217.40549069986093,-755.8682261492411,-10996.253538537525,,1430
71,0.0,1.3457613105675224,0.2596330953197372,0.03895422453919471,0.015674875357899604,0.7244961503719802,72.16331210558887,-0.07278982172757958,1.8825924332483583,3.4500116537775476,0.21239444753133666,975.5618838623902,3989.043465366735,201.99547909733766,-667.8043845678276,-10892.059274121133,,1429
72,0.0,1.7181025204486085,0.9756779010522616,-0.005003296542027046,-0.020338778514878666,2.614598020443773,63.0852306134122,0.07226658968232777,0.844480918254562,3.4239478486451675,0.04642160905591171,1381.7429055682585,1729.0194383166424,212.68945403435725,395.9634220705718,-10872.21723174729,,1428
73,0.0,1.2623537881901692,0.48811869909647054,0.015607534570182088,0.015787750817082682,1.8626699343921962,60.42486260116154,-0.07699079373639127,2.814905314988769,3.495955992866649,-0.20417069329671825,4914.908351331911,2560.3266964364193,219.48248480230362,605.0382888581271,-10747.866492469158,,1427
74,0.0,1.5111309103465982,0.7944099628104071,0.0223977595510461,-0.04089259261973546,0.5945062983270746,68.29193839102672,-0.053520285446770635,2.763710544721506,3.4662081641996516,1.430072341748037,4041.842938500303,2534.474307370774,191.54710773349163,675.8154118139207,-10613.214531352034,,1426
75,0.0,1.3388388439088326,0.19957305480935414,0.008311847238084535,-0.010307242026382578,0.5098630795748983,68.96642865139819,-0.03217094101514491,2.495876101238672,3.491965553906235,0.8285076614727132,258.22192505814746,3540.2457094631914,192.85191747909886,458.77932976737907,-10519.951039267522,,1425
76,0.0,1.9720257164559907,0.4068678672565649,-0.022321228758659297,-0.03874213438624272,1.7156585107555216,59.891536434349405,0.029167943938787966,2.3753188398443315,3.4157703659565195,0.4419153320765377,2921.674007527174,1246.4116398668968,244.47582911906915,-989.1454999169559,-10365.59625245863,,1424
77,0.0,1.2972040069780033,0.5355072214095562,-0.017507946469390405,-0.030761586081153737,2.6373554501900274,65.95901795967644,0.09377587159314249,1.8262254212454105,3.434368220371694,-0.9881761258541211,4650.744022056007,4854.974227501086,202.60160359981694,199.73278923157,-10341.647967166495,,1423
78,0.0,2.0844853866772066,0.5451689528164968,0.03235077112828309,-0.04996639227573296,1.3285350113441394,64.70479908020135,-0.07551342662122457,0.7512570987705475,3.4279179002208378,-0.3925356126812577,2923.483583428074,2783.801025750854,220.55795210658036,-692.9152127996425,-10333.366506901597,,1422
79,0.0,1.9444369477472556,0.8766840215047722,0.018377128945687965,0.04566879728982441,2.023864984274371,70.3518455440331,-0.03440486638658809,0.014622068084043123,3.4082656028065683,0.9891139420987209,3547.4861547760393,4672.504785968328,186.00478172756726,575.406819328168,-10318.271781871543,,1421
80,0.0,1.6245866113843626,0.4549478284697632,0.008272329420249115,0.03075928969255093,1.8535687646470873,59.243769044991666,-0.06578753634383391,2.6505404251876064,3.4578787667597948,-0.13304739069272367,2184.193524226027,3037.968446899272,220.6766316965245,554.698911181398,-10313.354971099103,,1420
